index,transactions,total_spend,avg_bill_value,qty_per_order,mtbp,life_time,cltv,basket_size_s,basket_size_m,basket_size_l,basket_price_sensitivity_la,basket_price_sensitivity_mm,basket_price_sensitivity_um,basket_price_sensitivity_na,basket_type_smallshop,basket_type_topup,basket_type_fullshop,basket_type_na,basket_dominant_fresh,basket_dominant_mixed,basket_dominant_grocery,basket_dominant_nonfood,label
CUST0000000181,1,2.44,2.44,1,0,551,1344.44,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,2
CUST0000000689,16,328.57,20.535625,20.875,21.0625,354,7269.61125,0.1875,0.25,0.5625,0.375,0.625,0,0,0.3125,0.25,0.4375,0,0.3125,0.4375,0.1875,0.0625,3
CUST0000000998,3,5.95,1.983333333,2,21.33333333,798,1582.7,0.666666667,0.333333333,0,0.333333333,0.333333333,0.333333333,0,1,0,0,0,0,0,0.666666667,0.333333333,2
CUST0000001163,4,39.74,9.935,8.5,152.25,627,6229.245,0.5,0,0.5,0.25,0.75,0,0,0.5,0.5,0,0,0.75,0.25,0,0,1
CUST0000001194,103,2493.83,24.21194175,16.55339806,7.669902913,810,19611.67282,0.087378641,0.223300971,0.689320388,0.029126214,0.650485437,0.310679612,0.009708738,0.184466019,0.485436893,0.330097087,0,0.533980583,0.349514563,0.097087379,0.019417476,3
CUST0000002257,1,1.99,1.99,1,0,720,1432.8,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,2
CUST0000002605,6,1.8,0.3,1,102.1666667,641,192.3,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,2
CUST0000002637,15,124.63,8.308666667,8.4,44.4,707,5874.227333,0.266666667,0.4,0.333333333,0.4,0.133333333,0.466666667,0,0.4,0.6,0,0,0.466666667,0.266666667,0.266666667,0,1
CUST0000002638,1,15.59,15.59,6,0,453,7062.27,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,2
CUST0000002813,12,145.02,12.085,9.833333333,21.33333333,345,4169.325,0,0.333333333,0.666666667,0.083333333,0.666666667,0.25,0,0.166666667,0.833333333,0,0,0.666666667,0.25,0.083333333,0,1
CUST0000003028,6,10.61,1.768333333,1.333333333,18.33333333,298,526.9633333,1,0,0,0.166666667,0.333333333,0.5,0,1,0,0,0,0.5,0,0.5,0,2
CUST0000003287,13,254.1,19.54615385,17.46153846,56.84615385,800,15636.92308,0.230769231,0.230769231,0.538461538,0.076923077,0.846153846,0.076923077,0,0.384615385,0.153846154,0.461538462,0,0.230769231,0.538461538,0.076923077,0.153846154,3
CUST0000003667,1,6.98,6.98,2,0,546,3811.08,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,2
CUST0000004088,82,900.3,10.97926829,11.12195122,9.853658537,819,8992.020732,0.085365854,0.475609756,0.43902439,0.268292683,0.402439024,0.292682927,0.036585366,0.43902439,0.451219512,0.073170732,0.036585366,0.56097561,0.182926829,0.207317073,0.012195122,1
CUST0000005054,8,80.06,10.0075,7,93.5,773,7735.7975,0.25,0.25,0.5,0.25,0.75,0,0,0.25,0.75,0,0,0.125,0.375,0.5,0,1
CUST0000005057,4,102.49,25.6225,17,136.5,638,16347.155,0,0,1,0.5,0.5,0,0,0,0.75,0.25,0,0.75,0.25,0,0,3
CUST0000006193,4,16.31,4.0775,4,66.5,509,2075.4475,0.5,0.5,0,0.5,0.25,0.25,0,0.75,0.25,0,0,0.5,0.25,0.25,0,2
CUST0000006298,1,13.62,13.62,7,0,130,1770.6,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,2
CUST0000006617,1,65.97,65.97,28,0,574,37866.78,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,3
CUST0000006666,7,57.02,8.145714286,5.428571429,98,738,6011.537143,0.571428571,0.285714286,0.142857143,0.428571429,0.285714286,0.285714286,0,0.714285714,0.142857143,0.142857143,0,0.428571429,0.285714286,0.285714286,0,1
